WM	Current_Price	Store	Prod_Name	Prod_Alias	RegPrice	OnSalePrice
31231434  	6.97	OFC	Watermelon 	青皮西瓜	3.99	2.99
30762261  	3.97	OFC	Fresh Peeled Garlic	新鮮去皮蒜肉(2lbs)	3.99	0.00
30510510  	2.97	OFC	Amorosa Mini Tomato           	盒裝有枝小番茄                	2.99	2.99
31231497  	10.96	OFC	Chive Flower	韭菜花	0.99	0.00
31227509  	4.34	OFC	Chayote	合掌瓜(散)	0.29	0.00
30769405  	0.97	OFC	Bean Sprouts	黃豆芽	1.29	0.89
30095596  	12.97	OFC	Caliman Papaya (Brazil)	巴西木瓜(箱)	10.99	8.99
31231440  	15.37	OFC	Milk Fruit	牛奶果	5.99	0.00
30056186  	6.55	OFC	Pear Plum(s)                  	雪梨布罧(小)                  	1.29	1.29
30762231  	6.55	OFC	Lotus Roots	蓮  藕	1.99	0.00
30099237  	4.97	OFC	Yellow Honey Daw (Big)        	大黃皮瓜                      	4.59	1.99
